id,product_name,region,sales_amount,date,quantity,category,customer_id,profit
4990,Headphones,West ,2447.8,,3,Office Supplies,C1006,417.59
15273,Headphones,West ,2174.89,7/30/2024,5,Clothing,C1001,516.36
21006,Mouse,north ,2611.73,7/10/2025,2,Furniture,C1066,626.22
2414,Laptop,West ,4115.03,7/7/2025,3,Clothing,C1450,442.44
36129,Tablet,North,2399.41,12/13/2025,3,Office Supplies,C1104,633.94
47491,Headphones,east,3987.86,1/30/2025,2,Electronics,C1187,1181.55
17907,Tablet,,1731.42,5/26/2024,2,Furniture,C1139,176.92
9152,Camera,West ,3934.86,9/20/2024,4,Office Supplies,C1102,1220.16
2938,Smartwatch,north ,1530.06,12/4/2024,4,Furniture,C1465,357.53
21294,Smartwatch,West,3637.48,5/9/2025,2,Office Supplies,C1464,1026.85
2306,Tablet,West ,4254.16,12/17/2025,5,Accessories,C1258,1075.1
36836,,,2892.05,8/9/2025,3,Furniture,C1096,903.35
40018,Tablet,West,2198.8,7/5/2025,3,Office Supplies,C1281,557.97
20543,Mouse, SOUTH,-2064.69,3/1/2025,2,Furniture,C1209,-505.15
15561,Printer,north ,3742.83,7/29/2025,3,Clothing,C1023,873.09
38663,Tablet, SOUTH,1515.35,12/14/2024,4,Clothing,C1130,273.91
6494,Mouse,South,2508.92,7/11/2025,1,Accessories,C1187,404.1
26351,Laptop,North,386.33,11/7/2024,4,Furniture,C1423,98.01
32406,Smartwatch,North,3314.29,8/5/2024,3,Office Supplies,C1118,475.59
5498,Tablet,West ,2565.69,7/23/2024,5,Accessories,C1133,725.9
8102,Tablet, SOUTH,3166.12,5/6/2024,1,Electronics,C1276,523.33
4210,Tablet, SOUTH,980.26,7/12/2025,2,Clothing,C1427,318.61
42836,Keyboard,West ,654.38,11/26/2025,1,Electronics,C1408,133.32
10108,Tablet,South,1311.95,8/15/2024,1,Furniture,C1443,305.77
9429,Mouse,South,3023.39,,4,Office Supplies,C1436,701.16
17646,Mouse, SOUTH,5104.65,9/10/2023,2,Electronics,C1255,1124.29
42701,Tablet,Central,1510.48,6/24/2025,4,Furniture,C1024,408.28
4613,Headphones,South,4239.9,,2,Accessories,C1051,502.36
17204,Monitor,West ,2312.04,7/6/2025,5,Office Supplies,C1283,317.8
25758,Smartwatch,West,2958.47,3/30/2025,4,Electronics,C1175,700.61
8834,Mouse,Central,1379.32,9/21/2025,4,Clothing,C1477,257.1
16769,Mobile,North,1086.02,11/14/2024,4,Furniture,C1004,165.57
30448,Keyboard,,3280.18,1/6/2026,4,Accessories,C1149,480.83
11263,Laptop,north ,4396.13,11/23/2024,2,Office Supplies,C1153,866.63
368,Camera,,2335.06,3/5/2025,4,Clothing,C1281,668.54
15949,Printer,South,3979.67,8/12/2024,3,Accessories,C1169,767.3
17710,Headphones,South,3339.1,6/12/2025,4,Electronics,C1430,887.59
44367,Monitor,North,2862.41,1/31/2025,2,Office Supplies,C1296,618.46
13513,Mouse,West ,3996.4,7/3/2025,3,Office Supplies,C1277,1222.56
46377,,East,3654.91,8/13/2025,1,Office Supplies,C1422,1045.7
23796,Tablet,East,1081.98,12/11/2025,4,Clothing,C1291,198.54
45070,Monitor,Central,2426.17,2/25/2025,3,Electronics,C1282,829.82
7170,Camera,West ,4838.23,,3,Office Supplies,C1447,1397.74
47352,Smartwatch,West,2318.07,11/6/2024,1,Electronics,C1212,744.36
2260,Mouse,,3851.07,5/22/2024,5,Clothing,C1043,1088.52
6044,Printer, SOUTH,4850.23,7/28/2024,3,Electronics,C1066,1500.33
42948,Monitor,East,236.88,12/15/2025,2,Electronics,C1450,65.59
34561,Monitor, SOUTH,1161.87,9/29/2024,1,Accessories,C1477,294.24
33468,Laptop,east,4667.42,9/8/2024,4,Furniture,C1482,1172.37
30850,Camera,Central,1319.62,10/9/2025,3,Accessories,C1020,144.4
38615,Tablet,South,612.01,8/22/2024,4,Office Supplies,C1122,193.65
3654,Keyboard,,1385.38,6/22/2024,3,Accessories,C1135,236.01
37415,Printer,North,3067.12,6/25/2024,4,Accessories,C1437,676.14
1155,Printer,east,4847.78,,4,Accessories,C1028,1286.12
46289,Monitor,,-576.65,7/22/2025,2,Office Supplies,C1371,-136.7
29449,Smartwatch, SOUTH,1388.91,2/9/2025,2,Clothing,C1110,163.29
7503,Mouse,Central,1658.99,10/12/2025,3,Electronics,C1261,468.32
4919,Tablet,,1839.23,11/4/2025,1,Electronics,C1388,318.98
8871,Monitor,North,-3093.16,1/18/2026,4,Office Supplies,C1424,-733.55
34503,Camera,,3171.37,11/23/2025,4,Office Supplies,C1021,330.44
18206,Laptop,north ,1591.33,9/23/2024,4,Electronics,C1345,418.18
46998,Camera,east,4536.8,6/12/2024,3,Electronics,C1206,1552.12
17103,Mouse,north ,1910.45,11/9/2024,5,Accessories,C1128,617.92
13366,Laptop,East,5450.71,7/29/2024,1,Office Supplies,C1245,597.74
13259,Laptop,North,914.85,12/28/2024,4,Electronics,C1040,134.65
43262,Mobile,South,3563.99,10/3/2025,5,Accessories,C1084,739.67
11203,Monitor,Central,4742.1,7/30/2025,1,Clothing,C1324,1013.94
15543,Tablet,South,2957.58,9/26/2025,5,Clothing,C1348,375
35674,Mobile,Central,3687.03,2/1/2026,2,Furniture,C1157,828.77
14573,Camera,East,5088.44,3/24/2025,3,Furniture,C1205,1711.61
18130,Laptop,east,3309.58,10/27/2025,4,Clothing,C1386,545.41
39033,Mouse, SOUTH,3528.08,5/16/2025,4,Electronics,C1324,770.58
944,Mouse,East,837.81,,5,Clothing,C1375,176.31
32067,Keyboard,Central,1355.47,1/4/2026,2,Electronics,C1124,267.2
7977,Tablet,east,355.97,11/6/2024,3,Office Supplies,C1193,116.9
1911,Mouse,North,1425.06,8/5/2025,3,Clothing,C1381,293.89
16078,Keyboard, SOUTH,2753.48,1/22/2026,3,Clothing,C1174,625.55
19144,Camera,West ,358.06,2/19/2024,1,Accessories,C1473,86.05
44313,Keyboard,north ,543.16,9/10/2025,5,Electronics,C1154,117.12
21729,Mobile,north ,540.83,10/12/2025,3,Office Supplies,C1336,162.45
26632,Printer,North,2382.43,11/27/2025,4,Clothing,C1436,281.66
8255,Monitor,South,1755.06,4/7/2025,2,Electronics,C1375,390.34
13703,Laptop,North,1790.13,1/24/2026,3,Clothing,C1494,395.87
13078,Camera,East,3658.79,3/12/2024,3,Office Supplies,C1104,1063.8
41229,Camera,East,3227.75,1/18/2024,2,Accessories,C1053,700.51
29461,Tablet,,2647.29,5/4/2025,3,Clothing,C1107,798.15
713,Headphones,,4707.63,1/17/2025,5,Electronics,C1118,949.34
28529,Keyboard,,3244.45,7/12/2026,3,Clothing,C1451,916.5
44848,Mobile,Central,4371.31,10/31/2024,3,Clothing,C1106,1371.29
47543,Monitor,east,425.32,5/13/2025,5,Office Supplies,C1038,116.78
18006,Mobile,Central,4514.01,9/27/2024,1,Electronics,C1213,937.26
1953,Mouse,East,3418.19,4/11/2025,4,Electronics,C1370,343.11
27979,Headphones,,1282.02,10/26/2024,2,Office Supplies,C1050,409.77
20140,Mouse,South,4874.3,7/28/2025,5,Furniture,C1032,752.46
13152,Laptop,North,2310.79,11/8/2024,2,Furniture,C1191,693.37
17963,Mobile,east,1916.7,4/23/2024,2,Clothing,C1121,441.84
1987,Mouse,North,2338.64,10/24/2025,1,Furniture,C1332,608.78
11186,Keyboard,East,4630.2,,1,Furniture,C1367,1456.42
48383,Monitor,East,1662.12,11/22/2024,1,Office Supplies,C1299,387.13
28699,Camera,West,3976.8,6/1/2025,5,Electronics,C1095,628.69
16827,,South,1926.02,6/5/2025,4,Electronics,C1420,417.27
26409,Mobile, SOUTH,5918.21,7/29/2025,3,Clothing,C1261,1172.99
33076,Laptop,North,3438.43,10/17/2025,1,Office Supplies,C1368,1038.2
4768,Mobile,,3913.85,6/10/2025,2,Clothing,C1060,1122.05
46072,Mouse,West,2362.21,6/6/2024,2,Clothing,C1213,401.8
5917,Headphones,West,4294.37,4/7/2024,1,Electronics,C1153,724.75
21826,Headphones,,1305.39,11/18/2024,4,Accessories,C1238,376.83
27003,Keyboard,South,926.04,11/24/2025,1,Accessories,C1466,225.64
30460,Mobile,east,804.53,8/15/2025,1,Office Supplies,C1159,196.34
23576,Laptop,North,2868.42,4/29/2024,4,Furniture,C1044,342.91
31069,Camera,East,2143.76,8/12/2025,1,Electronics,C1314,271.26
21634,Mobile,east,1871.75,8/13/2024,4,Accessories,C1073,643.43
20432,Camera,North,4351.57,12/6/2025,3,Electronics,C1369,1373.29
75,Smartwatch,East,4387.19,5/26/2025,3,Electronics,C1145,1178.37
18503,Monitor,,768.51,1/18/2025,3,Clothing,C1026,130.05
32318,Printer,West ,130.81,2/5/2026,1,Accessories,C1255,38.85
35858,Smartwatch,South,1138.43,5/29/2024,2,Accessories,C1159,298.71
17702,Printer,North,1430.15,8/11/2024,3,Office Supplies,C1483,420.73
