id,total_sales,average_sales,monthly_growth_percent,top_product,best_region,month
1,143773.23,4210.3,-12.91,Headphones,Central,May
2,77656.54,828.93,-7.62,,,June
3,61449.57,2102.05,,Smartwatch,South,Aug
4,83267.49,360.57,-14.2,Laptop,West ,September
5,146299.81,4163.45,-2.51,Mobile,East,February
6,144652.26,2651.74,13.1,Headphones,West,February
7,179834.27,3891.44,-0.42,Monitor,North,apr
8,14637.43,1399.4,8.35,Mobile,North,June
9,193451.52,2766.41,14.94,,Central,Jan
10,95850.43,2913.54,-3.49,Mobile, SOUTH,September
11,22961.29,3708.04,31.36,Mobile,West,NOV
12,146235.09,2963.68,0.92,Tablet,West,September
13,-92720.58,3978.4,-19.09,, SOUTH,NOV
14,157391.92,2014.83,3.94,Tablet,Central,Jan
15,32264.38,3309.26,37.68,Keyboard,East,MAR
16,23844.24,4403.39,11.74,Keyboard,West ,MAR
17,,2112.94,-17.11,Printer,South,May
18,99392.6,507.73,13.01,Tablet,West ,NOV
19,134947.55,,-19.37,Smartwatch,,Oct
20,40999.9,1065.11,2.94,Mobile,South,Jan
21,154128.25,465.08,24.66,Mobile,West,apr
22,144977.59,1561.57,29.29,Keyboard,,Oct
23,31915.77,3470.81,-7.97,,,dec
24,116532.6,646.65,22.28,Monitor,,Jan
25,33936.37,4742.38,2.12,Printer,North,Aug
26,25963.37,1260.98,24.87,Camera,East,May
27,186443.65,2758.95,9.84,Mouse,East,jul
28,39154.72,4994.8,-13.89,Smartwatch,East,June
29,140968.25,4294.76,19.9,Headphones,,Jan
30,148253.59,4378.16,38.37,Monitor,east,Oct
31,19013.45,917.67,31.07,Smartwatch,East,jul
32,49740.13,2501.94,-9.51,Smartwatch,north ,February
33,6543.11,3672.83,-18.1,Smartwatch,West,apr
34,7610.02,4091.36,-7.07,Headphones,,Oct
35,105411.29,631.21,-5.05,Laptop, SOUTH,Aug
36,41492.62,2638.18,-16.27,Mouse,West ,May
37,,4551.05,35.34,Laptop,North,Oct
38,45236.24,4634.07,-12.56,Monitor,Central,Aug
39,179690.29,4858.43,-16.11,Headphones,West ,February
40,176286.67,4208.17,39.5,Laptop,Central,
41,155702.1,547.3,-1.38,Printer,South,September
42,112583.62,1238.5,-2.19,Keyboard,East,February
43,143739.22,1319.13,4.48,Tablet,east,Oct
44,126907.55,4598.03,-10.15,Camera,East,Oct
45,173299.93,,5.55,Keyboard,South,Oct
46,113590.15,2636.76,27.43,Laptop,Central,Aug
47,46525.35,3329.05,-6.64,,West ,Aug
48,64754.06,4590.89,-12.95,Mouse,north ,
49,16680.0,3487.7,35.12,Headphones, SOUTH,jul
50,181915.46,2940.54,3.02,Camera,East,
51,152111.7,3901.03,34.0,Tablet,Central,apr
52,87942.15,2823.93,9.76,Headphones, SOUTH,Aug
53,10924.85,638.43,2.65,Smartwatch,,NOV
54,13491.46,879.69,21.18,Headphones, SOUTH,MAR
55,154047.29,1562.22,39.19,Tablet,north ,apr
56,121388.86,4506.09,25.3,Camera,South,May
57,7907.24,1339.4,36.98,Mobile,,June
58,122855.73,3957.43,7.85,Mouse,,September
59,27453.4,4080.63,19.2,Camera,West,Oct
60,29690.96,3215.95,-15.21,Smartwatch,West,Oct
61,125545.49,372.46,0.76,Printer,East,jul
62,168214.91,1851.77,,Laptop,East,June
63,114488.63,2093.94,-8.24,Smartwatch,East,February
64,82314.51,942.28,10.06,Keyboard,North,February
65,49770.37,798.15,31.48,Camera,,apr
66,69416.57,4584.36,5.25,Camera,,dec
67,121908.61,316.83,21.71,Smartwatch,South,February
68,72204.31,1572.4,32.57,Smartwatch,,June
69,160681.1,3546.97,-5.21,Smartwatch,North,February
70,149882.4,4015.87,2.58,Mouse,,MAR
71,114684.62,3897.59,19.74,Mouse,North,May
72,163838.11,,-0.38,Mouse,Central,Oct
73,105909.05,4185.12,11.05,Printer,East,Aug
74,71422.33,4993.96,28.34,Monitor,South,Jan
75,196755.18,4995.01,-4.19,Mobile,north ,May
76,181973.77,3879.46,18.81,,North,
77,165847.7,3247.94,-12.22,Camera,South,MAR
78,76377.22,3705.14,19.88,Mobile,South,May
79,,3171.14,33.19,Tablet,Central,February
80,158617.7,4192.91,30.5,Headphones,north ,Oct
81,74317.46,1558.42,22.12,Mouse,,apr
82,183314.99,3736.06,34.13,Tablet,South,apr
83,104133.65,230.57,-12.78,Headphones,South,MAR
84,180210.74,1331.02,14.4,Mobile,,NOV
85,65394.58,4585.77,35.39,Tablet,east,June
86,69929.32,1704.16,21.58,Mouse,,May
87,17386.3,4978.25,-10.9,Monitor,east,dec
88,106205.08,2297.95,37.08,Smartwatch,West,jul
89,39515.2,650.41,0.48,Smartwatch,,February
90,32336.97,4940.26,18.87,Headphones,West ,May
91,17230.25,448.14,22.34,Smartwatch,east,Oct
92,16185.72,1328.34,-7.11,Laptop,West ,apr
93,90215.85,2759.18,10.7,Tablet,South,jul
94,68363.4,2035.47,13.3,Tablet,,Aug
95,167796.28,2756.67,27.62,Tablet,West ,February
96,48136.23,2438.67,-11.91,Mouse,,May
97,51184.31,2914.07,31.65,Smartwatch,East,jul
98,15053.15,1651.05,27.42,Monitor,West ,MAR
99,146650.88,1860.22,12.38,Monitor,East,NOV
100,38682.28,873.8,-10.01,Monitor, SOUTH,September
101,183618.03,2122.22,-15.07,Monitor,South,dec
102,186034.78,,,Printer,north ,Oct
103,127191.64,2247.19,15.09,Tablet,South,Jan
104,109804.55,4432.06,-9.82,Keyboard,,May
105,195849.72,261.16,32.93,Headphones,,dec
106,198493.83,3324.43,32.33,Camera, SOUTH,apr
107,42162.91,2852.01,33.45,Laptop,,Oct
108,-75859.53,4250.22,35.33,Mobile,East,September
109,22254.26,3710.37,-1.41,Mouse, SOUTH,May
110,135242.72,2945.32,14.57,Tablet,South,Jan
111,-146180.47,2008.05,-2.6,Laptop,West ,Oct
112,159516.98,3877.88,25.24,Headphones,east,dec
113,17020.53,569.55,39.97,Printer,West ,February
114,82888.86,860.15,13.51,Tablet, SOUTH,Oct
115,173451.49,2005.21,39.27,Mouse,North,Oct
116,140932.07,4325.71,-5.97,Smartwatch,West ,
117,142644.6,1798.25,15.07,Tablet,North,May
118,176153.53,1952.47,38.6,,North,February
119,127889.22,758.2,35.07,Monitor,West ,February
120,76743.08,1560.1,-2.49,Laptop,West,dec
121,118934.29,1927.63,4.39,Mouse, SOUTH,MAR
122,127130.2,317.74,-4.77,Tablet, SOUTH,
123,93508.38,3373.72,37.78,Keyboard,West ,jul
124,30378.37,4389.39,,Printer,West,September
125,115106.4,3399.55,11.83,Monitor,,NOV
126,107491.62,2288.03,17.53,Camera,South,September
127,93177.39,1713.29,-6.28,Headphones,South,jul
128,99995.84,933.27,15.93,Camera, SOUTH,September
129,84757.48,3643.09,-17.47,Keyboard,West,NOV
130,33497.93,3383.06,19.72,Printer,east,NOV
131,83317.14,4665.32,28.07,Monitor,South,May
132,31065.93,2030.25,-5.41,,East,September
133,70207.3,3059.26,0.9,Mouse,North,dec
134,28790.09,1810.54,9.94,Printer, SOUTH,Aug
135,,3619.88,1.64,Mouse,East,September
136,78066.0,1157.19,13.86,Mouse,,June
137,17665.66,4994.91,31.36,Camera,East,dec
138,28166.87,2292.78,-8.28,Smartwatch,East,February
139,-99868.63,2171.18,1.05,Camera,,June
140,39104.28,856.62,-10.52,Camera,North,apr
141,189755.24,1504.3,36.65,Camera,East,September
142,84767.93,4406.46,-8.89,Smartwatch,North,Oct
143,136066.34,902.04,-5.91,Camera,east,February
144,54985.72,246.16,-4.16,Headphones,north ,apr
145,122520.54,3717.63,-13.98,Keyboard, SOUTH,June
146,123412.35,1942.28,-6.32,Keyboard,North,February
147,68179.02,4722.59,20.16,Monitor, SOUTH,Oct
148,98787.16,2465.19,27.7,Laptop,,September
149,183670.99,3093.27,-4.02,Monitor,East,dec
150,129617.45,2676.1,22.51,Laptop,,jul
151,114640.1,3486.58,5.22,Mobile,,jul
152,114881.44,3164.02,21.19,Headphones,West ,February
153,83009.07,4320.85,39.23,Camera, SOUTH,September
154,56026.93,3407.15,28.8,Monitor,South,Aug
155,104589.52,423.54,15.98,,Central,jul
156,130542.86,3821.28,37.83,Smartwatch,North,February
157,31912.39,3627.57,8.98,,West,Oct
158,179032.69,737.69,12.09,Laptop,West ,June
159,59694.47,2973.54,,Monitor,east,NOV
160,146538.76,4592.5,5.08,Monitor,,NOV
161,144109.82,1835.82,2.98,Laptop,West ,Aug
